major,course,related
Italian Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Portuguese Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Romanian Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Spanish Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Albanian Language and Literature,"[u'Anthropology', u'Foreign Language', u'Linguistics']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature', u'Burmese Language and Literature']"
"Baltic Languages, Literatures, and Linguistics",[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
"Bosnian, Serbian, and Croatian Languages and Literatures","[u'Anthropology', u'Business', u'Foreign Language', u'Linguistics']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bulgarian Language and Literature', u'Burmese Language and Literature']"
Bulgarian Language and Literature,"[u'Business', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Burmese Language and Literature']"
Czech Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Polish Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Russian Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Slovak Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Ukrainian Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Bengali Language and Literature,"[u'Business', u'Foreign Language', u'Linguistics']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature', u'Burmese Language and Literature']"
Hindi Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature', u'Religious Studies']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Punjabi Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
"Sanskrit and Classical Indian Languages, Literatures, and Linguistics",[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Tamil Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Urdu Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics","[u'Anthropology', u'Foreign Language', u'Geography', u'Linguistics']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature', u'Burmese Language and Literature']"
Burmese Language and Literature,"[u'Business', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Filipino/Tagalog Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Indonesian/Malay Languages and Literatures,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Khmer/Cambodian Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Lao Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Thai Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Vietnamese Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Hungarian/Magyar Language and Literature,"[u'Business Applications', u'Foreign Language', u'Linguistics', u'Literature']","[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Mongolian Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Turkish Language and Literature,[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
"Uralic Languages, Literatures, and Linguistics",[],"[u'Adult Development and Aging', u'African Languages, Literatures, and Linguistics', u'Albanian Language and Literature', u'American Indian/Native American Languages, Literatures, and Linguistics', u'American Sign Language', u'American Sign Language (ASL)', u'Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics', u'Ancient/Classical Greek Language and Literature', u'Apparel and Textile Manufacture', u'Apparel and Textile Marketing Management', u'Apparel and Textiles', u'Applied Linguistics', u'Arabic Language and Literature', u'Australian/Oceanic/Pacific Languages, Literatures, and Linguistics', u'Baltic Languages, Literatures, and Linguistics', u'Bengali Language and Literature', u'Bosnian, Serbian, and Croatian Languages and Literatures', u'Bulgarian Language and Literature']"
Health and Wellness,"[u'Disease Education', u'Drug Education', u'Exercise Science', u'Health', u'Mental Health', u'Nutrition']",[u'Chiropractic']
Advanced General Dentistry,"[u'Biology', u'Chemistry', u'Implantology', u'Management']","[u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Dental Clinical Sciences,"[u'Anatomy', u'Biology', u'Ethics', u'Management', u'Occlusion', u'Radiology']","[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Dental Materials,"[u'Bioengineering', u'Dental Materials', u'Dental Procedures', u'Physics']","[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Dental Public Health and Education,"[u'Biostatistics', u'Dental Procedures', u'Education', u'Health', u'Nutrition', u'Research Methods']","[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Endodontics/Endodontology,"[u'Biochemistry', u'Biology', u'Calculus', u'Chemistry', u'Genetics', u'Immunology', u'Physics', u'Physiology']","[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Oral Biology and Oral and Maxillofacial Pathology,[],"[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Oral/Maxillofacial Surgery,[],"[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Orthodontics/Orthodontology,[],"[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Pediatric Dentistry/Pedodontics', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Pediatric Dentistry/Pedodontics,[],"[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Periodontics/Periodontology', u'Prosthodontics/Prosthodontology']"
Periodontics/Periodontology,[],"[u'Advanced General Dentistry', u'Advanced/Graduate Dentistry and Oral Sciences', u'Dental Materials', u'Dental Public Health and Education', u'Endodontics/Endodontology', u'Oral Biology and Oral and Maxillofacial Pathology', u'Oral/Maxillofacial Surgery', u'Orthodontics/Orthodontology', u'Pediatric Dentistry/Pedodontics', u'Prosthodontics/Prosthodontology']"
Prosthodontics/Prosthodontology,[],"[u'Dental Assisting/Assistant', u'Dental Hygiene/Hygienist', u'Dental Laboratory Technology/Technician', u'Dental Support Services and Allied Professions', u'Health and Medical Administrative Services', u'Health Information/Medical Records Administration/Administrator', u'Health Information/Medical Records Technology/Technician', u'Health Unit Coordinator/Ward Clerk', u'Health Unit Manager/Ward Supervisor', u'Health/Health Care Administration/Management', u'Hospital and Health Care Facilities Administration/Management', u'Medical Office Assistant/Specialist', u'Medical Office Computer Specialist/Assistant', u'Medical Office Management/Administration', u'Medical Transcription/Transcriptionist', u'Medical/Health Management and Clinical Assistant/Specialist']"
Anesthesiologist Assistant,"[u'Biology', u'Chemistry', u'Mathematics', u'Physics']","[u'Allied Health and Medical Assisting Services', u'Chiropractic Assistant/Technician', u'Clinical Research Coordinator', u'Clinical/Medical Laboratory Assistant', u'Emergency Care Attendant (EMT Ambulance)', u'Medical/Clinical Assistant', u'Occupational Therapist Assistant', u'Pathology/Pathologist Assistant', u'Pharmacy Technician/Assistant', u'Physical Therapy Technician/Assistant', u'Radiologist Assistant', u'Respiratory Therapy Technician/Assistant', u'Veterinary/Animal Health Technology/Technician and Veterinary Assistant']"
