major,course,related
Range Science and Management,[],"[u'Plant Protection and Integrated Pest Management', u'Soil Chemistry and Physics', u'Soil Microbiology', u'Soil Sciences']"
Soil Chemistry and Physics,[],"[u'Plant Protection and Integrated Pest Management', u'Range Science and Management', u'Soil Microbiology', u'Soil Sciences']"
Soil Microbiology,[],"[u'Plant Protection and Integrated Pest Management', u'Range Science and Management', u'Soil Chemistry and Physics', u'Soil Sciences']"
Soil Science and Agronomy,[],"[u'Plant Protection and Integrated Pest Management', u'Range Science and Management', u'Soil Chemistry and Physics', u'Soil Microbiology', u'Soil Sciences']"
Architectural History and Criticism,"[u'Design', u'English', u'History']","[u'Architectural History and Criticism', u'Architectural Sciences and Technology', u'Architectural Technology/Technician', u'Landscape Architecture']"
Architectural and Building Sciences/Technology,"[u'3D Modeling', u'Art', u'Drafting', u'English', u'Mathematics', u'Physics', u'Working Drawings']","[u'African Studies', u'American/United States Studies/Civilization', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'Asian Studies/Civilization', u'East Asian Studies', u'Real Estate Development']"
Architectural Technology/Technician,"[u'3D Modeling', u'Drafting', u'Graphics', u'History', u'Mathematics', u'Physics']","[u'Architectural History and Criticism', u'Architectural Sciences and Technology', u'Landscape Architecture']"
Architecture,"[u'3D modeling', u'Drafting', u'Engineering', u'Mathematics', u'Physics', u'Working Drawings']","[u'City/Urban, Community and Regional Planning']"
"City/Urban, Community and Regional Planning","[u'Architectural Principles', u'Drafting', u'Economics', u'Law', u'Management']","[u'Environmental Design', u'Environmental Design/Architecture', u'Interior Architecture', u'Landscape Architecture']"
Environmental Design/Architecture,"[u'Architectural Principles', u'CAD', u'Design', u'Interior Design', u'Landscape Architecture', u'Management', u'Mathematics', u'Urban Planning']","[u'City/Urban, Community and Regional Planning', u'Environmental Design', u'Interior Architecture', u'Landscape Architecture']"
Interior Architecture,"[u'Art', u'Building Systems', u'Design', u'English', u'Environmental Psychology', u'Geometry', u'History', u'Physics']","[u'City/Urban, Community and Regional Planning', u'Environmental Design', u'Environmental Design/Architecture', u'Landscape Architecture']"
Landscape Architecture,[],"[u'Architectural History and Criticism', u'Architectural Sciences and Technology', u'Architectural Technology/Technician']"
Real Estate Development,[],"[u'African Studies', u'American/United States Studies/Civilization', u'Architectural and Building Sciences/Technology', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'Asian Studies/Civilization', u'East Asian Studies']"
African Studies,"[u'Anthropology', u'Foreign Language', u'Political Science']","[u'American/United States Studies/Civilization', u'Architectural and Building Sciences/Technology', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'Asian Studies/Civilization', u'East Asian Studies', u'Real Estate Development']"
American/United States Studies/Civilization,"[u'English', u'Linguistics', u'Literature', u'Politics', u'Sociology ']","[u'African Studies', u'Architectural and Building Sciences/Technology', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'Asian Studies/Civilization', u'East Asian Studies', u'Real Estate Development']"
Asian Studies/Civilization,"[u'Art', u'Composition', u'Geography', u'History', u'Language and Culture', u'Mathematics', u'Speech', u'Statistics']","[u'African Studies', u'American/United States Studies/Civilization', u'Architectural and Building Sciences/Technology', u'Area Studies', u'Area, Ethnic, Cultural, Gender, and Group Studies', u'East Asian Studies', u'Real Estate Development']"
